2024-11-17 17:05:01,894 | DEBUG | Written to file
2024-11-17 17:05:01,894 | DEBUG | File Handle Closed
2024-11-17 17:05:02,057 | DEBUG | Read from file complete
2024-11-17 17:05:02,057 | DEBUG | File Handle Closed
2024-11-17 17:05:16,140 | DEBUG | Written to file
2024-11-17 17:05:16,140 | DEBUG | File Handle Closed
2024-11-17 17:05:16,273 | DEBUG | Read from file complete
2024-11-17 17:05:16,273 | DEBUG | File Handle Closed
2024-11-17 17:05:16,273 | DEBUG | Converted data to dict
2024-11-17 17:05:16,392 | DEBUG | Written to file
2024-11-17 17:05:16,392 | DEBUG | File Handle Closed
2024-11-17 17:05:16,501 | DEBUG | Read from file complete
2024-11-17 17:05:16,501 | DEBUG | File Handle Closed
2024-11-17 17:05:16,501 | DEBUG | Converted data to dict
2024-11-17 17:05:16,625 | DEBUG | Value added to dictionary
2024-11-17 17:05:16,625 | DEBUG | adding name: Ophir to db was True
2024-11-17 17:05:16,625 | DEBUG | Written to file
2024-11-17 17:05:16,625 | DEBUG | File Handle Closed
2024-11-17 17:05:16,625 | DEBUG | writing was True
2024-11-17 17:05:16,625 | DEBUG | released all reader slots
2024-11-17 17:05:16,625 | DEBUG | No writer
2024-11-17 17:05:16,625 | DEBUG | Acquired reader lock
2024-11-17 17:05:16,625 | DEBUG | Got value from dict - Ophir
2024-11-17 17:05:16,737 | DEBUG | Value added to dictionary
2024-11-17 17:05:16,737 | DEBUG | adding age: 17 to db was True
2024-11-17 17:05:16,737 | DEBUG | Written to file
2024-11-17 17:05:16,737 | DEBUG | File Handle Closed
2024-11-17 17:05:16,737 | DEBUG | writing was True
2024-11-17 17:05:16,737 | DEBUG | released all reader slots
2024-11-17 17:05:16,856 | DEBUG | No writer
2024-11-17 17:05:16,856 | DEBUG | Acquired reader lock
2024-11-17 17:05:16,857 | DEBUG | Got value from dict - 17
2024-11-17 17:05:16,979 | DEBUG | No writer
2024-11-17 17:05:16,979 | DEBUG | Acquired reader lock
2024-11-17 17:05:16,980 | DEBUG | Got value from dict - None
2024-11-17 17:05:17,097 | DEBUG | Value added to dictionary
2024-11-17 17:05:17,097 | DEBUG | adding height: tall to db was True
2024-11-17 17:05:17,097 | DEBUG | Written to file
2024-11-17 17:05:17,097 | DEBUG | File Handle Closed
2024-11-17 17:05:17,098 | DEBUG | writing was True
2024-11-17 17:05:17,098 | DEBUG | released all reader slots
2024-11-17 17:05:17,106 | DEBUG | Value added to dictionary
2024-11-17 17:05:17,106 | DEBUG | adding name: Ophir to db was True
2024-11-17 17:05:17,106 | DEBUG | Written to file
2024-11-17 17:05:17,107 | DEBUG | File Handle Closed
2024-11-17 17:05:17,107 | DEBUG | writing was True
